City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
127,Kaitangata,NZ,-46.28,169.85,52.0,65,94,8.99,overcast clouds
128,Urumqi,CN,43.8,87.6,46.4,49,0,2.24,clear sky
129,Makakilo City,US,21.35,-158.09,87.8,48,20,10.29,few clouds
130,Port Alfred,ZA,-33.59,26.89,53.46,69,2,7.83,clear sky
131,Qaqortoq,GL,60.72,-46.03,48.2,61,100,18.34,light rain
132,Caravelas,BR,-17.71,-39.25,73.56,70,100,9.6,overcast clouds
133,Sao Filipe,CV,14.9,-24.5,78.31,78,12,5.99,few clouds
134,Dikson,RU,73.51,80.55,37.62,99,100,23.55,light rain
135,Chateaubelair,VC,13.28,-61.25,78.8,88,40,7.07,scattered clouds
136,Adrar,MR,20.5,-10.07,85.82,38,0,14.5,clear sky
137,Lata,PT,40.16,-8.33,61.0,54,0,11.01,clear sky
138,Ruteng,ID,-8.61,120.47,77.43,57,40,3.15,scattered clouds
139,Qaanaaq,GL,77.48,-69.36,32.68,84,100,5.06,overcast clouds
140,Campina Grande Do Sul,BR,-25.31,-49.06,57.0,96,96,4.32,overcast clouds
141,Millau,FR,44.08,2.92,46.0,100,75,11.41,broken clouds
142,Guia Lopes Da Laguna,BR,-21.46,-56.11,77.27,42,0,5.44,clear sky
143,Pilani,IN,28.37,75.6,85.26,14,0,3.94,clear sky
144,Laguna,US,38.42,-121.42,75.99,26,1,5.82,clear sky
145,Baft,IR,29.23,56.61,50.43,38,0,5.95,clear sky
146,Kruisfontein,ZA,-34.0,24.73,46.0,94,1,4.76,clear sky
147,Torbay,CA,47.67,-52.73,46.0,93,90,18.34,overcast clouds
148,Vao,NC,-22.67,167.48,74.25,88,65,12.33,broken clouds
149,Dukat,RU,62.55,155.55,35.91,62,75,6.44,broken clouds
150,Sault Sainte Marie,CA,46.52,-84.33,44.6,75,1,4.7,clear sky
151,Asyut,EG,27.18,31.18,75.2,53,0,5.82,clear sky
152,Stolac,BA,43.08,17.96,62.6,93,75,5.82,thunderstorm with light rain
153,Floro,NO,61.6,5.03,46.4,70,97,6.93,overcast clouds
154,Les Cayes,HT,18.2,-73.75,79.16,83,96,3.02,overcast clouds
155,Narsaq,GL,60.92,-46.05,48.2,61,100,18.34,light rain
156,Thanh Hoa,VN,19.8,105.77,77.63,69,100,11.83,overcast clouds
157,Yashan,CN,22.2,109.94,80.15,65,81,11.54,broken clouds
158,Pangnirtung,CA,66.15,-65.71,34.93,85,90,3.8,overcast clouds
159,La Asuncion,VE,11.03,-63.86,82.4,83,100,8.05,light rain
160,Grindavik,IS,63.84,-22.43,44.6,93,75,11.41,broken clouds
161,Visp,CH,46.29,7.88,42.01,68,80,5.39,broken clouds
162,Carnarvon,AU,-24.87,113.63,73.4,60,0,17.22,clear sky
163,Kununurra,AU,-15.77,128.73,96.8,13,0,13.87,clear sky
164,Nuuk,GL,64.18,-51.72,37.4,86,100,11.41,overcast clouds
165,Saint-Leu,RE,-21.15,55.28,70.0,73,0,2.24,clear sky
166,Mugur-Aksy,RU,50.35,90.5,27.45,84,100,2.86,overcast clouds
167,Port-Gentil,GA,-0.72,8.78,77.65,85,100,13.44,light rain
168,Agirish,RU,61.92,63.02,42.87,91,100,8.32,overcast clouds
169,Lompoc,US,34.64,-120.46,64.99,68,1,4.7,clear sky
170,Sorland,NO,67.67,12.69,45.09,75,12,16.89,few clouds
171,Butaritari,KI,3.07,172.79,81.46,73,2,12.53,clear sky
172,Ikovka,RU,55.61,64.94,45.37,82,74,7.92,broken clouds
173,Atuona,PF,-9.8,-139.03,78.44,71,1,17.69,clear sky
174,Esperance,AU,-33.87,121.9,64.4,68,40,10.29,scattered clouds
175,Vostok,RU,46.49,135.88,43.74,73,89,5.12,overcast clouds
176,Conde,BR,-7.26,-34.91,73.4,88,20,7.94,few clouds
177,Talnakh,RU,69.49,88.4,24.8,92,40,22.37,light snow
178,Abu Samrah,SY,35.3,37.18,57.78,82,0,1.54,clear sky
179,Road Town,VG,18.42,-64.62,82.0,87,98,7.0,overcast clouds
180,Nome,US,64.5,-165.41,42.8,70,50,8.05,scattered clouds
181,Tutoia,BR,-2.76,-42.27,79.95,78,42,12.1,scattered clouds
182,Arraial Do Cabo,BR,-22.97,-42.03,70.11,67,52,12.55,broken clouds
183,Pedasi,PA,7.53,-80.03,80.71,79,97,5.23,overcast clouds
184,Srednekolymsk,RU,67.45,153.68,31.12,80,53,3.02,broken clouds
185,Tautira,PF,-17.73,-149.15,84.2,62,20,13.87,few clouds
186,Oussouye,SN,12.48,-16.55,78.8,94,27,2.24,scattered clouds
187,General Roca,AR,-39.03,-67.58,55.4,62,0,6.46,light rain
188,Alice Springs,AU,-23.7,133.88,80.6,12,0,17.22,clear sky
189,Coquimbo,CL,-29.95,-71.34,55.4,87,3,4.7,clear sky
190,Sarreguemines,FR,49.08,7.33,42.8,93,2,3.36,clear sky
191,Cherskiy,RU,68.75,161.3,24.98,90,0,8.5,clear sky
192,Evensk,RU,61.95,159.23,38.53,71,72,4.79,broken clouds
193,Komsomolskiy,UZ,40.43,71.72,50.0,81,0,2.24,clear sky
194,Ketchikan,US,55.34,-131.65,44.6,100,75,4.7,broken clouds
195,Richards Bay,ZA,-28.78,32.04,59.99,81,96,5.23,overcast clouds
196,Praia Da Vitoria,PT,38.73,-27.07,68.0,72,75,17.58,broken clouds
197,Forbes,AU,-33.38,148.02,76.12,30,55,2.71,broken clouds
198,Port Hardy,CA,50.7,-127.42,48.2,81,90,6.93,overcast clouds
199,Suisun City,US,38.24,-122.04,71.01,40,1,5.82,clear sky
200,Ardakan,IR,32.31,54.02,48.2,24,0,4.7,clear sky
201,Ronne,DK,55.1,14.71,51.8,76,88,6.93,overcast clouds
202,Hasaki,JP,35.73,140.83,72.0,100,75,13.87,mist
203,Namibe,AO,-15.2,12.15,59.63,87,5,2.08,clear sky
204,Husavik,IS,66.04,-17.34,37.4,100,90,1.12,overcast clouds
205,Katsuura,JP,35.13,140.3,73.4,78,75,9.17,broken clouds
206,Hofn,IS,64.25,-15.21,46.87,80,47,10.27,scattered clouds
207,Nizhnevartovsk,RU,60.93,76.55,33.8,100,90,8.95,light rain
208,Port Elizabeth,ZA,-33.92,25.57,48.2,93,0,5.82,clear sky
209,Fortuna,US,40.6,-124.16,60.01,80,0,2.86,clear sky
210,Bambous Virieux,MU,-20.34,57.76,73.4,83,40,5.82,scattered clouds
211,Bend,US,44.06,-121.32,53.01,71,31,3.0,scattered clouds
212,Elko,US,41.0,-115.5,50.0,36,0,4.74,clear sky
213,Cidreira,BR,-30.18,-50.21,63.77,83,0,17.92,clear sky
214,Salta,AR,-24.79,-65.41,60.8,44,6,1.12,clear sky
215,Ostersund,SE,63.18,14.64,39.2,100,100,6.93,overcast clouds
216,Gobabis,NA,-22.45,18.97,53.89,34,0,11.25,clear sky
217,Baghmara,IN,23.8,86.21,84.87,68,19,5.23,few clouds
218,Baherden,TM,38.44,57.43,52.75,38,0,6.91,clear sky
219,Badin,PK,24.66,68.84,85.71,35,0,8.88,clear sky
220,Nabire,ID,-3.37,135.48,83.07,72,87,3.15,overcast clouds
221,Poya,NC,-21.35,165.15,82.22,61,68,3.8,broken clouds
222,Yerbogachen,RU,61.28,108.01,25.39,85,0,4.61,clear sky
223,Riyadh,SA,24.69,46.72,64.4,23,0,6.93,clear sky
224,Sioux Lookout,CA,50.1,-91.92,53.6,62,90,10.29,overcast clouds
225,North Bend,US,43.41,-124.22,64.0,87,90,13.87,overcast clouds
226,Manzhouli,CN,49.6,117.43,34.43,71,100,14.34,light rain
