City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Perth,AU,2020-10-07 23:30:18,-31.93,115.83,55.4,93,40,5.82
108,Cherskiy,RU,2020-10-07 23:27:04,68.75,161.3,27.12,97,66,5.79
109,Luderitz,NA,2020-10-07 23:27:03,-26.65,15.16,59.5,81,0,17.49
110,Verkhoyansk,RU,2020-10-07 23:32:27,67.54,133.38,34.65,77,100,4.07
111,Senekal,ZA,2020-10-07 23:32:27,-28.32,27.62,58.48,75,1,5.79
112,Andros Town,BS,2020-10-07 23:32:27,24.7,-77.77,84.2,66,40,9.17
113,Kodiak,US,2020-10-07 23:26:58,57.79,-152.41,46.4,87,90,14.99
114,Hermanus,ZA,2020-10-07 23:27:00,-34.42,19.23,55.0,93,38,1.01
115,Impfondo,CG,2020-10-07 23:32:27,1.64,18.07,71.13,98,100,1.68
116,Atar,MR,2020-10-07 23:27:43,20.52,-13.05,92.39,30,0,10.58
117,Cosala,MX,2020-10-07 23:32:28,24.41,-106.69,81.99,60,0,2.89
118,Winnemucca,US,2020-10-07 23:32:28,40.97,-117.74,84.2,6,1,5.82
119,San Patricio,US,2020-10-07 23:32:28,28.02,-97.52,84.2,51,40,13.87
120,Bozeman,US,2020-10-07 23:32:28,45.68,-111.04,78.8,14,1,3.36
121,Mangrol,IN,2020-10-07 23:32:28,21.12,70.12,80.47,76,41,10.51
122,Saint-Philippe,RE,2020-10-07 23:27:17,-21.36,55.77,69.8,77,0,4.7
123,Krasnoselkup,RU,2020-10-07 23:32:28,65.7,82.47,22.69,98,91,5.46
124,Dahuk,IQ,2020-10-07 23:32:28,36.87,42.99,58.59,49,0,5.5
125,Neiafu,TO,2020-10-07 23:27:08,-18.65,-173.98,80.6,88,75,9.17
126,Airai,TL,2020-10-07 23:27:20,-8.93,125.41,65.73,93,99,2.21
127,Port Alfred,ZA,2020-10-07 23:27:03,-33.59,26.89,65.01,82,0,8.79
128,Kapaa,US,2020-10-07 23:27:01,22.08,-159.32,87.8,62,40,9.17
