City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
100,Puerto Ayora,EC,70.0,-0.74,-90.35,overcast clouds,Finch Bay Galapagos Hotel
103,Campoverde,PE,78.55,-8.48,-74.81,clear sky,"Hospedaje ""Señor De Muruhuay"""
106,Gat,IL,72.0,31.61,34.76,clear sky,OlusHome
110,Powell,US,66.99,40.16,-83.08,overcast clouds,The Brig
114,Alofi,NU,77.0,-19.06,-169.92,broken clouds,Taloa Heights
115,Impfondo,CG,67.35,1.64,18.07,overcast clouds,Préfecture de la Likouala
117,Ambilobe,MG,76.84,-13.2,49.05,clear sky,Hôtel & Restaurant DIANA Ambilobe
119,Sinnamary,GF,80.28,5.38,-52.95,clear sky,ALETHEIA Appartement Sinnamary
120,Flinders,AU,68.0,-34.58,150.86,scattered clouds,Shellharbour Resort & Conference Centre
124,Hobyo,SO,78.55,5.35,48.53,broken clouds,Osmani Hotel
125,Manta,EC,75.2,-0.95,-80.73,broken clouds,Balandra Hotel
126,Layou,VC,78.8,13.2,-61.27,scattered clouds,Buccament Bay Resort
132,Caravelas,BR,73.56,-17.71,-39.25,overcast clouds,Pousada dos Navegantes
133,Sao Filipe,CV,78.31,14.9,-24.5,few clouds,Tortuga B&B
135,Chateaubelair,VC,78.8,13.28,-61.25,scattered clouds,Richmond Vale Diving & Hiking Center
138,Ruteng,ID,77.43,-8.61,120.47,scattered clouds,Hotel FX72 Ruteng
142,Guia Lopes Da Laguna,BR,77.27,-21.46,-56.11,clear sky,Donna Lu
144,Laguna,US,75.99,38.42,-121.42,clear sky,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
148,Vao,NC,74.25,-22.67,167.48,broken clouds,Hotel Kou-Bugny
151,Asyut,EG,75.2,27.18,31.18,clear sky,Florence Hotel Assiut
154,Les Cayes,HT,79.16,18.2,-73.75,overcast clouds,Villa Orphee
156,Thanh Hoa,VN,77.63,19.8,105.77,overcast clouds,KHÁCH SẠN NGỌC LY 8
159,La Asuncion,VE,82.4,11.03,-63.86,light rain,Colinas de Matasiete
162,Carnarvon,AU,73.4,-24.87,113.63,clear sky,Hospitality Carnarvon
165,Saint-Leu,RE,70.0,-21.15,55.28,clear sky,La Caz Oceane
167,Port-Gentil,GA,77.65,-0.72,8.78,light rain,Fengshui Residence
171,Butaritari,KI,81.46,3.07,172.79,clear sky,Isles Sunset Lodge
173,Atuona,PF,78.44,-9.8,-139.03,clear sky,Villa Enata
176,Conde,BR,73.4,-7.26,-34.91,few clouds,Pousada Beija Flor
